Street Segement,SHAPELEN,District_1,District_2,TRAIN_ONEHOT,METRO_BLUESILVER,LIQUOR_ONEHOT,METRO_ORANGE,District_3,GRAFFITI_ONEHOT,District_4,District_5,District_6,District_7,GAS_ONEHOT,METRO_RED,METRO_GREEN,METRO_YELLOW,PUBLICSCHOOL_ES_ONEHOT,PUBLICSCHOOL_MS_ONEHOT,PUBLICSCHOOL_HS_ONEHOT,FAGI_MEDIAN_2015,POPDENSITY,HOUSINGDENSITY,PERCVACANTHOUSING,FAGI_MEDIAN_CHANGE,FEDERAL_ONEHOT,CORRIDOR_ONEHOT,HOMICIDES_ONEHOT
137,95.10275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47582,790.0677447,259.9459279,0.180625631,1.3990591,0,0,0
138,157.60747,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55265,8543.786798,3790.01609,0.045777842,1.103076059,0,0,0
139,76.33003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,55265,8543.786798,3790.01609,0.045777842,1.103076059,0,0,0
140,137.59727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46330,6609.372371,3058.40539,0.064913722,1.078143908,0,0,0
141,117.94184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34486,11496.45911,5340.434845,0.112970711,1.169591833,0,0,0
142,143.68908,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55379,6552.476131,3082.243368,0.062608885,1.104723351,1,0,0
143,63.97055,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,46784.5,9633.244558,3954.594414,0.062550401,1.128275548,1,0,0
144,144.7834,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29720.5,9417.874622,3174.491463,0.07778915,1.057894924,0,0,1
145,42.11973,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,38248,16584.74263,7753.581268,0.125632766,1.165990915,0,0,0
146,23.62248,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,59590,7363.108698,3653.70598,0.0625,1.106664314,0,0,0
147,93.7547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197155,6136.050391,1420.484975,0.062010837,1.185552442,1,0,0
148,232.51316,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,39738.5,11629.71748,4379.825414,0.071030641,1.166104231,0,1,0
149,59.99412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76325,3589.787022,1956.910448,0.058441558,0.99952201,1,0,0
150,48.60861,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,24186,4581.115361,1376.358665,0.277777778,1.506352765,0,0,0
152,170.39091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69664,4407.944852,3739.022655,0.227848101,1.087990005,1,0,0
153,132.29887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131571,7847.997999,2991.020216,0.037755822,1.152751311,0,0,0
154,200.86309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148690,2484.920441,1023.901252,0.033642691,1.228518078,1,0,0
155,198.13294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34251,9576.580889,4198.96239,0.108187135,1.062408884,0,0,0
156,104.92102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197155,6136.050391,1420.484975,0.062010837,1.185552442,0,0,0
157,135.11174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197155,6136.050391,1420.484975,0.062010837,1.185552442,1,0,0
158,436.2256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7.485821802,1.814744679,0,NaN,0,0,0
159,178.39984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47991.5,12548.10725,2183.642427,0.03632287,1.212947986,1,0,0
160,210.8381,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,0,0
161,244.38091,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36933,7601.506105,3115.019445,0.101837672,1.052027402,0,0,1
